audio,audio_filepath,data_type,transcription
341881303_441431_441436_26194,/train/car-number/voices/341881303_441431_441436_26194.ogg,car,"51, H7, 946"
426881765_455450_455467_27105,/train/car-number/voices/426881765_455450_455467_27105.ogg,car,5 9 d i 3 0 8
1128232293_458309_458316_26781,/train/car-number/voices/1128232293_458309_458316_26781.ogg,car,08CO 255
1150481435_413599_413600_26469,/train/car-number/voices/1150481435_413599_413600_26469.ogg,car,08 DM 819
1268975918_426210_426211_26304,/train/car-number/voices/1268975918_426210_426211_26304.ogg,car,"52, b, r, 361."
892642911_453311_453322_26626,/train/car-number/voices/892642911_453311_453322_26626.ogg,car,08-ı Z-236
1269496718_433860_433875_26668,/train/car-number/voices/1269496718_433860_433875_26668.ogg,car,57CW713
892642911_470921_470931_26295,/train/car-number/voices/892642911_470921_470931_26295.ogg,car,70 KW 874
1201653758_461416_461420_26450,/train/car-number/voices/1201653758_461416_461420_26450.ogg,car,18DD 823
2016758610_475749_475763_26358,/train/car-number/voices/2016758610_475749_475763_26358.ogg,car,46.293
5196964268_423049_423050_26774,/train/car-number/voices/5196964268_423049_423050_26774.ogg,car,"6, 0, E, K, 7, 1, 6"
5196964268_424684_424685_26645,/train/car-number/voices/5196964268_424684_424685_26645.ogg,car,90S-C913
1229817727_468593_468604_26553,/train/car-number/voices/1229817727_468593_468604_26553.ogg,car,64 fıkı 113
954206432_417583_417584_26299,/train/car-number/voices/954206432_417583_417584_26299.ogg,car,25-K-V-159
1128232293_464935_464946_26843,/train/car-number/voices/1128232293_464935_464946_26843.ogg,car,05BZ736
1043664892_429748_429749_26682,/train/car-number/voices/1043664892_429748_429749_26682.ogg,car,08-AV-044
1128232293_456980_456986_26982,/train/car-number/voices/1128232293_456980_456986_26982.ogg,car,12ZP374
815993798_471407_471414_26796,/train/car-number/voices/815993798_471407_471414_26796.ogg,car,07VR444
575298922_417274_417275_27141,/train/car-number/voices/575298922_417274_417275_27141.ogg,car,56AA658
1878274529_450365_450369_26475,/train/car-number/voices/1878274529_450365_450369_26475.ogg,car,"39 vızı, 9-8."
5591209497_449756_449763_26416,/train/car-number/voices/5591209497_449756_449763_26416.ogg,car,10. GF 466
671891258_476077_476090_26568,/train/car-number/voices/671891258_476077_476090_26568.ogg,car,38 M.O. 875
1150481435_415982_415983_26584,/train/car-number/voices/1150481435_415982_415983_26584.ogg,car,090 A 213
1878274529_450480_450483_26505,/train/car-number/voices/1878274529_450480_450483_26505.ogg,car,17. H.A. 398
5196964268_466601_466610_26595,/train/car-number/voices/5196964268_466601_466610_26595.ogg,car,77-034
341881303_437612_437619_26968,/train/car-number/voices/341881303_437612_437619_26968.ogg,car,69 MN 441
713611046_476530_476550_27014,/train/car-number/voices/713611046_476530_476550_27014.ogg,car,27-o-q-185
954206432_421594_421597_26956,/train/car-number/voices/954206432_421594_421597_26956.ogg,car,"45, cf 325"
426881765_421661_421664_26926,/train/car-number/voices/426881765_421661_421664_26926.ogg,car,14.982 14.982
763941567_451885_451898_26688,/train/car-number/voices/763941567_451885_451898_26688.ogg,car,16-cə-e-821
1878274529_454262_454268_26271,/train/car-number/voices/1878274529_454262_454268_26271.ogg,car,I-60 AM104
1013880018_447119_447128_26215,/train/car-number/voices/1013880018_447119_447128_26215.ogg,car,39 UF 318
671891258_469123_469133_27031,/train/car-number/voices/671891258_469123_469133_27031.ogg,car,06.io.598
1043664892_429095_429096_26628,/train/car-number/voices/1043664892_429095_429096_26628.ogg,car,"42, MZ 597"
763941567_458317_458330_26354,/train/car-number/voices/763941567_458317_458330_26354.ogg,car,45 xul inf 897
1269496718_435362_435364_26502,/train/car-number/voices/1269496718_435362_435364_26502.ogg,car,16-100-139
1878274529_460585_460589_26381,/train/car-number/voices/1878274529_460585_460589_26381.ogg,car,66 U G 185
763941567_451560_451568_27026,/train/car-number/voices/763941567_451560_451568_27026.ogg,car,59 FA 742
1268975918_426400_426401_26155,/train/car-number/voices/1268975918_426400_426401_26155.ogg,car,0404 RR 598
860296669_430574_430579_26607,/train/car-number/voices/860296669_430574_430579_26607.ogg,car,33HA109
671891258_473760_473772_26555,/train/car-number/voices/671891258_473760_473772_26555.ogg,car,30 vs 164
1297961140_459541_459558_27124,/train/car-number/voices/1297961140_459541_459558_27124.ogg,car,0-2-E-Y-539
1150481435_416612_416613_26542,/train/car-number/voices/1150481435_416612_416613_26542.ogg,car,17 MK 348
1051072005_443794_443797_26385,/train/car-number/voices/1051072005_443794_443797_26385.ogg,car,22 əzdə 693
1150481435_414536_414539_26611,/train/car-number/voices/1150481435_414536_414539_26611.ogg,car,33 CF 276
1297961140_462521_462535_27009,/train/car-number/voices/1297961140_462521_462535_27009.ogg,car,0 9 b yı 7 3 4
527731854_466841_466852_26264,/train/car-number/voices/527731854_466841_466852_26264.ogg,car,55 AK-677
1269496718_431527_431530_27145,/train/car-number/voices/1269496718_431527_431530_27145.ogg,car,38 end 608
828296631_458576_458585_26392,/train/car-number/voices/828296631_458576_458585_26392.ogg,car,77WZ151
619589413_438641_438643_26879,/train/car-number/voices/619589413_438641_438643_26879.ogg,car,02 MC 386
1082554792_464766_464920_27099,/train/car-number/voices/1082554792_464766_464920_27099.ogg,car,71 YJ 176
1150481435_416102_416103_26941,/train/car-number/voices/1150481435_416102_416103_26941.ogg,car,44 OS 339
815993798_468881_468887_26882,/train/car-number/voices/815993798_468881_468887_26882.ogg,car,71VO914
1043664892_429566_429567_26613,/train/car-number/voices/1043664892_429566_429567_26613.ogg,car,26 yıya 418
1269496718_433312_433317_26493,/train/car-number/voices/1269496718_433312_433317_26493.ogg,car,"25, pığcı 4, 13, 7."
568204248_440284_440288_27149,/train/car-number/voices/568204248_440284_440288_27149.ogg,car,51-li 189
919361428_427331_427332_26325,/train/car-number/voices/919361428_427331_427332_26325.ogg,car,33WH945
5196964268_423069_423070_26158,/train/car-number/voices/5196964268_423069_423070_26158.ogg,car,06 UQ 066
1201653758_462414_462425_26990,/train/car-number/voices/1201653758_462414_462425_26990.ogg,car,24SR 576
2016758610_469733_469742_26509,/train/car-number/voices/2016758610_469733_469742_26509.ogg,car,"50, 20, 238"
5591209497_453566_453577_26430,/train/car-number/voices/5591209497_453566_453577_26430.ogg,car,17 və jə 785
671891258_474689_474700_26408,/train/car-number/voices/671891258_474689_474700_26408.ogg,car,098Y674
1347919237_479543_479554_26714,/train/car-number/voices/1347919237_479543_479554_26714.ogg,car,"44, q, q, 166."
828296631_456019_456028_26924,/train/car-number/voices/828296631_456019_456028_26924.ogg,car,77VC674
763941567_457552_457561_26548,/train/car-number/voices/763941567_457552_457561_26548.ogg,car,11FF031
892642911_472440_472455_26332,/train/car-number/voices/892642911_472440_472455_26332.ogg,car,60'cı el F313'ci
1128232293_445634_445642_27024,/train/car-number/voices/1128232293_445634_445642_27024.ogg,car,31 ZJ 577
705098248_420741_420742_26687,/train/car-number/voices/705098248_420741_420742_26687.ogg,car,40 füji 5-təli 5
1347919237_479819_479831_26242,/train/car-number/voices/1347919237_479819_479831_26242.ogg,car,"Əllə bir, yı, cı, altı yüz yetmiş bir."
314849420_477481_477497_26202,/train/car-number/voices/314849420_477481_477497_26202.ogg,car,21 ayı 707
5196964268_465712_465722_26768,/train/car-number/voices/5196964268_465712_465722_26768.ogg,car,52CN613
1347919237_479186_479196_26805,/train/car-number/voices/1347919237_479186_479196_26805.ogg,car,06-r-q-488
5591209497_450895_450896_26306,/train/car-number/voices/5591209497_450895_450896_26306.ogg,car,14. C. Y. 512
671891258_472635_472642_26405,/train/car-number/voices/671891258_472635_472642_26405.ogg,car,43WQ-082
5028632961_421504_421505_26618,/train/car-number/voices/5028632961_421504_421505_26618.ogg,car,54-lü u çüzqıq yetdi.
919361428_432460_432462_26578,/train/car-number/voices/919361428_432460_432462_26578.ogg,car,Кирхчи зыы 741
426881765_454421_454436_26694,/train/car-number/voices/426881765_454421_454436_26694.ogg,car,35 WN283
815993798_471088_471092_26952,/train/car-number/voices/815993798_471088_471092_26952.ogg,car,70.YK996
763941567_460649_460655_26233,/train/car-number/voices/763941567_460649_460655_26233.ogg,car,"26MV, бейсиус как зовут?"
2016758610_471553_471562_26308,/train/car-number/voices/2016758610_471553_471562_26308.ogg,car,15 YA 315
763941567_452769_452785_26293,/train/car-number/voices/763941567_452769_452785_26293.ogg,car,63 yıl 668
619589413_435945_435952_27022,/train/car-number/voices/619589413_435945_435952_27022.ogg,car,24. F.I. 558
1043664892_429422_429423_26605,/train/car-number/voices/1043664892_429422_429423_26605.ogg,car,51 PN 116
828296631_471780_471790_27152,/train/car-number/voices/828296631_471780_471790_27152.ogg,car,51CY046
954206432_421813_421814_26788,/train/car-number/voices/954206432_421813_421814_26788.ogg,car,21. C.Y. 494
341881303_442347_442349_27123,/train/car-number/voices/341881303_442347_442349_27123.ogg,car,20 KN 331
5196964268_465083_465085_26275,/train/car-number/voices/5196964268_465083_465085_26275.ogg,car,64Ti093
954206432_421815_421818_26586,/train/car-number/voices/954206432_421815_421818_26586.ogg,car,71. U.A. 556
1297961140_461768_461775_26814,/train/car-number/voices/1297961140_461768_461775_26814.ogg,car,14. R1-2-2-2
1051072005_434056_434059_26855,/train/car-number/voices/1051072005_434056_434059_26855.ogg,car,90 VT 321
1201653758_461671_461677_27132,/train/car-number/voices/1201653758_461671_461677_27132.ogg,car,43-HY-022
5591209497_456680_456690_26656,/train/car-number/voices/5591209497_456680_456690_26656.ogg,car,56-п-х-9-41
539261624_463886_463891_26916,/train/car-number/voices/539261624_463886_463891_26916.ogg,car,64 WA 172
5440156582_417722_417723_26433,/train/car-number/voices/5440156582_417722_417723_26433.ogg,car,10MA956
575298922_445326_445327_26248,/train/car-number/voices/575298922_445326_445327_26248.ogg,car,07QM828
671891258_467632_467635_26226,/train/car-number/voices/671891258_467632_467635_26226.ogg,car,17-A-B-276
828296631_468096_468104_26908,/train/car-number/voices/828296631_468096_468104_26908.ogg,car,56 AR 675
1150481435_413611_413612_26961,/train/car-number/voices/1150481435_413611_413612_26961.ogg,car,42DN 197
314849420_450176_450183_26172,/train/car-number/voices/314849420_450176_450183_26172.ogg,car,06 AL 637
1009209372_462247_462253_26506,/train/car-number/voices/1009209372_462247_462253_26506.ogg,car,06JS013
919361428_427911_427912_26574,/train/car-number/voices/919361428_427911_427912_26574.ogg,car,58IN081
5440156582_425000_425001_26256,/train/car-number/voices/5440156582_425000_425001_26256.ogg,car,46HV559
892642911_455692_455695_26312,/train/car-number/voices/892642911_455692_455695_26312.ogg,car,Əllüt UL 419
705098248_419904_419907_27045,/train/car-number/voices/705098248_419904_419907_27045.ogg,car,07CH964
1128232293_448145_448164_26820,/train/car-number/voices/1128232293_448145_448164_26820.ogg,car,07 NE 446
713611046_452737_452748_26784,/train/car-number/voices/713611046_452737_452748_26784.ogg,car,64-M-E-004
1269496718_433135_433136_27020,/train/car-number/voices/1269496718_433135_433136_27020.ogg,car,"53, 49, 52"
1051072005_433699_433701_26190,/train/car-number/voices/1051072005_433699_433701_26190.ogg,car,47. F.A. 626
860296669_465310_465327_26974,/train/car-number/voices/860296669_465310_465327_26974.ogg,car,22mk376
671891258_478843_478858_26522,/train/car-number/voices/671891258_478843_478858_26522.ogg,car,40. P.I. 079
954206432_424255_424256_26903,/train/car-number/voices/954206432_424255_424256_26903.ogg,car,39 MK Q51
815993798_470465_470483_26520,/train/car-number/voices/815993798_470465_470483_26520.ogg,car,23MM272
568204248_436987_436993_26335,/train/car-number/voices/568204248_436987_436993_26335.ogg,car,48NQ394
5028632961_418819_418820_26359,/train/car-number/voices/5028632961_418819_418820_26359.ogg,car,16-m-k-596
1201653758_471502_471517_26733,/train/car-number/voices/1201653758_471502_471517_26733.ogg,car,55CO-086
568204248_440627_440633_26272,/train/car-number/voices/568204248_440627_440633_26272.ogg,car,16 SD 242
1878274529_451984_451987_26799,/train/car-number/voices/1878274529_451984_451987_26799.ogg,car,61AJ959
671891258_469687_469693_26523,/train/car-number/voices/671891258_469687_469693_26523.ogg,car,37 NF622
1128232293_449088_449105_26598,/train/car-number/voices/1128232293_449088_449105_26598.ogg,car,07CJ443
314849420_469121_469132_26918,/train/car-number/voices/314849420_469121_469132_26918.ogg,car,63-i ay 608
1128232293_465239_465252_26466,/train/car-number/voices/1128232293_465239_465252_26466.ogg,car,49. О. Ж. 117
1878274529_449174_449182_26390,/train/car-number/voices/1878274529_449174_449182_26390.ogg,car,98-q-b-0-6-7
892642911_471608_471618_27147,/train/car-number/voices/892642911_471608_471618_27147.ogg,car,29. P. O. 484
1082554792_479084_479099_26192,/train/car-number/voices/1082554792_479084_479099_26192.ogg,car,49-7-609
713611046_453457_453468_26863,/train/car-number/voices/713611046_453457_453468_26863.ogg,car,27-C-S-018
828296631_449491_449497_27133,/train/car-number/voices/828296631_449491_449497_27133.ogg,car,66SF348
1878274529_460893_460901_26425,/train/car-number/voices/1878274529_460893_460901_26425.ogg,car,26 vıvı 768
910545275_415547_415548_26339,/train/car-number/voices/910545275_415547_415548_26339.ogg,car,72 yıfı 159
568204248_436486_436493_26249,/train/car-number/voices/568204248_436486_436493_26249.ogg,car,45 KV 232
1013880018_451714_451721_26780,/train/car-number/voices/1013880018_451714_451721_26780.ogg,car,"63. Табли, табли, 921."
1082554792_460475_460488_26911,/train/car-number/voices/1082554792_460475_460488_26911.ogg,car,27.10.95
1043664892_428879_428880_26704,/train/car-number/voices/1043664892_428879_428880_26704.ogg,car,54 qızı 431
2016758610_471346_471352_26349,/train/car-number/voices/2016758610_471346_471352_26349.ogg,car,49 жүріфі 961
1051072005_433011_433012_26160,/train/car-number/voices/1051072005_433011_433012_26160.ogg,car,68-t-y-952
2016758610_443784_443785_26174,/train/car-number/voices/2016758610_443784_443785_26174.ogg,car,54 EO 139
5196964268_423161_423162_26783,/train/car-number/voices/5196964268_423161_423162_26783.ogg,car,"Üç, sekiz, e, bir, beş, üç, iki."
892642911_455761_455833_27018,/train/car-number/voices/892642911_455761_455833_27018.ogg,car,68 WN364
910545275_415095_415096_26929,/train/car-number/voices/910545275_415095_415096_26929.ogg,car,"68, I, W, 65, 5"
892642911_424045_424046_27135,/train/car-number/voices/892642911_424045_424046_27135.ogg,car,06-S-E-008
1043664892_430373_430374_26414,/train/car-number/voices/1043664892_430373_430374_26414.ogg,car,25 pıvı 618
527731854_464019_464028_26355,/train/car-number/voices/527731854_464019_464028_26355.ogg,car,68xy264
341881303_437506_437510_26531,/train/car-number/voices/341881303_437506_437510_26531.ogg,car,70HX061
1269496718_436598_436603_26964,/train/car-number/voices/1269496718_436598_436603_26964.ogg,car,70 yıl ve 512.
1268975918_426472_426473_26876,/train/car-number/voices/1268975918_426472_426473_26876.ogg,car,"0, 9, P, C, 161"
527731854_458581_458588_26822,/train/car-number/voices/527731854_458581_458588_26822.ogg,car,23 E627
2016758610_472922_472928_27146,/train/car-number/voices/2016758610_472922_472928_27146.ogg,car,24FJ226
815993798_466301_466317_26162,/train/car-number/voices/815993798_466301_466317_26162.ogg,car,25 FW665
5591209497_457340_457347_26891,/train/car-number/voices/5591209497_457340_457347_26891.ogg,car,0-4-Z-İ-141
828296631_455702_455709_26254,/train/car-number/voices/828296631_455702_455709_26254.ogg,car,18 OEM 682
705098248_421166_421167_26794,/train/car-number/voices/705098248_421166_421167_26794.ogg,car,44239
919361428_432483_432484_26377,/train/car-number/voices/919361428_432483_432484_26377.ogg,car,41. Nəyətəyə 827
1150481435_414720_414723_26213,/train/car-number/voices/1150481435_414720_414723_26213.ogg,car,01DD 585
426881765_466948_466983_26913,/train/car-number/voices/426881765_466948_466983_26913.ogg,car,"1, 7, 8, 6, 3"
575298922_418513_418514_26866,/train/car-number/voices/575298922_418513_418514_26866.ogg,car,Әлбүштеу 049
763941567_458665_458670_26718,/train/car-number/voices/763941567_458665_458670_26718.ogg,car,44FM279
568204248_439046_439049_26406,/train/car-number/voices/568204248_439046_439049_26406.ogg,car,15-r-y-508
575298922_418314_418315_27052,/train/car-number/voices/575298922_418314_418315_27052.ogg,car,68 NO 441
575298922_417404_417405_26819,/train/car-number/voices/575298922_417404_417405_26819.ogg,car,53XM008
1082554792_478460_478476_26996,/train/car-number/voices/1082554792_478460_478476_26996.ogg,car,16 E305
527731854_458910_458913_27077,/train/car-number/voices/527731854_458910_458913_27077.ogg,car,27-i C-677
5591209497_453104_453116_27060,/train/car-number/voices/5591209497_453104_453116_27060.ogg,car,"19, yu, q, 8, 4, 1"
919361428_429702_429704_26844,/train/car-number/voices/919361428_429702_429704_26844.ogg,car,77 lopu 142
860296669_430790_430791_26209,/train/car-number/voices/860296669_430790_430791_26209.ogg,car,20FM719
2016758610_469745_469764_26267,/train/car-number/voices/2016758610_469745_469764_26267.ogg,car,55 AQ 363
1082554792_469951_469967_26839,/train/car-number/voices/1082554792_469951_469967_26839.ogg,car,21SD452
527731854_459316_459321_27070,/train/car-number/voices/527731854_459316_459321_27070.ogg,car,21 AF 132
892642911_424217_424218_26473,/train/car-number/voices/892642911_424217_424218_26473.ogg,car,39 IH 123'i
1013880018_442637_442640_26569,/train/car-number/voices/1013880018_442637_442640_26569.ogg,car,on T Taffy do this fish
919361428_429862_429865_26389,/train/car-number/voices/919361428_429862_429865_26389.ogg,car,37 O.C. 154
860296669_417483_417484_26702,/train/car-number/voices/860296669_417483_417484_26702.ogg,car,80 OB 792
860296669_430782_430783_26894,/train/car-number/voices/860296669_430782_430783_26894.ogg,car,67-də F-İ 451
1269496718_433325_433328_26429,/train/car-number/voices/1269496718_433325_433328_26429.ogg,car,34 yur altı yüze iletim.
1043664892_430696_430697_26336,/train/car-number/voices/1043664892_430696_430697_26336.ogg,car,69 az 4 82
912272968_434604_434608_26357,/train/car-number/voices/912272968_434604_434608_26357.ogg,car,48ZS354
426881765_465025_465049_26581,/train/car-number/voices/426881765_465025_465049_26581.ogg,car,01SR693
5028632961_418835_418836_26978,/train/car-number/voices/5028632961_418835_418836_26978.ogg,car,28-y-t-663
5591209497_452145_452153_26812,/train/car-number/voices/5591209497_452145_452153_26812.ogg,car,56C və 192
976055738_474189_474213_27155,/train/car-number/voices/976055738_474189_474213_27155.ogg,car,31 Hıfı 098
575298922_418404_418405_26636,/train/car-number/voices/575298922_418404_418405_26636.ogg,car,09FH508
619589413_441018_441021_26457,/train/car-number/voices/619589413_441018_441021_26457.ogg,car,Цифрыки. ЖС. Толюсгрыхки.
919361428_426981_426982_26705,/train/car-number/voices/919361428_426981_426982_26705.ogg,car,41. eləs 866
619589413_440833_440834_26892,/train/car-number/voices/619589413_440833_440834_26892.ogg,car,77 BY 119
954206432_420646_420652_27118,/train/car-number/voices/954206432_420646_420652_27118.ogg,car,11. KV 682
763941567_431210_431213_26925,/train/car-number/voices/763941567_431210_431213_26925.ogg,car,0-9-D-O-412
1201653758_478739_478749_26828,/train/car-number/voices/1201653758_478739_478749_26828.ogg,car,48.7.215
1043664892_430465_430468_26759,/train/car-number/voices/1043664892_430465_430468_26759.ogg,car,Сфоруць пыры с фромбир.
619589413_441465_441468_26262,/train/car-number/voices/619589413_441465_441468_26262.ogg,car,28 д. 441.
